"secs","kph","rpm","watts","hr","torq","km","g"
1043.28,30.9,85,212,117,8.5,7.952,2.89
1045.8,30.7,86,112,119,4.5,7.973,2.83
1048.32,30,91,137,123,5.6,7.995,2.62
1050.84,29.5,78,119,123,5,8.017,3
1053.36,29.1,84,128,123,5.4,8.036,2.75
1055.88,29.3,80,158,123,6.7,8.058,2.91
1058.4,28.9,81,135,123,5.8,8.077,2.83
1060.92,29.3,88,193,123,8.1,8.098,2.64
1063.44,29.9,82,153,123,6.3,8.118,2.89
1065.96,29.7,84,133,123,5.5,8.139,2.81
1068.48,29.3,82,107,123,4.5,8.161,2.84
1071,28.6,82,186,123,8,8.18,2.77
1073.52,27.5,77,179,123,8,8.2,2.83
1076.04,24.8,67,250,123,12.4,8.217,2.94
1078.56,22.5,84,225,124,12.3,8.232,2.13
1081.08,22.5,64,210,127,11.5,8.249,2.79
1083.6,23.8,65,196,127,10.2,8.264,2.91
1086.12,23.7,70,141,127,7.3,8.282,2.69
1088.64,23.5,71,138,127,7.2,8.299,2.63
1091.16,23,70,124,127,6.7,8.314,2.61
1093.68,22.5,69,115,0,6.3,8.331,2.59
1096.2,22.9,67,126,128,6.8,8.346,2.71
1098.72,24.1,71,71,128,3.6,8.364,2.69
1101.24,25.4,79,84,128,4.1,8.381,2.55
1103.76,26.8,81,118,128,5.4,8.398,2.63
1106.28,27.8,81,135,0,6,8.417,2.72
1108.8,27.4,68,148,0,6.7,8.437,3.2
1111.32,27.2,55,119,0,5.4,8.456,3.92
1113.84,27.5,84,126,0,5.6,8.476,2.6
1116.36,28.4,85,120,0,5.2,8.495,2.65
1118.88,28.5,88,97,0,4.2,8.517,2.57
1121.4,28.5,80,128,0,5.5,8.536,2.83
1123.92,27.8,89,165,0,7.3,8.555,2.48
1126.44,26.1,78,158,0,7.5,8.575,2.66
1128.96,23.9,81,184,0,9.5,8.59,2.34
1131.48,23.1,79,144,114,7.7,8.607,2.32
1134,23.5,81,116,114,6.1,8.624,2.3
1136.52,24.8,65,82,114,4.1,8.642,3.03
1139.04,25.8,104,184,114,8.8,8.659,1.97
1141.56,20.6,72,307,0,18.4,8.674,2.27
1144.08,23.2,81,185,123,9.8,8.689,2.27
1146.6,24,74,152,124,7.8,8.706,2.57
1149.12,23.3,73,119,125,6.3,8.723,2.53
1151.64,24.6,81,121,125,6.1,8.741,2.41
1154.16,25.5,87,184,125,8.9,8.758,2.33
1156.68,26,73,195,125,9.3,8.777,2.83
1159.2,26.5,89,184,125,8.6,8.795,2.36
1161.72,27.1,53,146,125,6.7,8.814,4.06
1164.24,27.6,95,121,125,5.4,8.833,2.31
1166.76,28.4,97,117,125,5.1,8.853,2.32
1169.28,28.8,69,116,0,5,8.872,3.31
1171.8,28.5,77,83,0,3.6,8.894,2.94
1174.32,28,79,105,126,4.6,8.913,2.81
1176.84,27.4,88,123,126,5.5,8.932,2.47
1179.36,27.9,89,150,126,6.7,8.952,2.49
1181.88,28.2,89,93,126,4.1,8.971,2.51
1184.4,28.3,90,114,0,5,8.991,2.5
1186.92,27.8,93,102,0,4.5,9.01,2.37
1189.44,27.4,89,120,0,5.4,9.029,2.44
1191.96,26.9,81,133,0,6.1,9.049,2.64
1194.48,26.9,83,194,0,8.9,9.066,2.57
1197,27.3,66,170,126,7.7,9.085,3.28
1199.52,27.5,83,174,126,7.8,9.105,2.63
1202.04,27.7,85,144,125,6.4,9.124,2.59
1204.56,27,69,156,125,7.1,9.144,3.11
1207.08,24.8,80,254,125,12.7,9.161,2.46
1209.6,24.1,72,141,125,7.2,9.178,2.66
1212.12,23.5,73,43,125,2.3,9.195,2.55
1214.64,18.6,0,0,123,0,9.208,NA
1217.16,12.3,0,129,123,13,9.217,NA
1219.68,14.3,42,212,123,18.3,9.228,2.7
1222.2,20.6,65,267,123,16,9.241,2.52
1224.72,23.5,50,159,123,8.4,9.258,3.73
1227.24,25.3,87,130,123,6.3,9.275,2.31
1229.76,26.1,83,167,123,7.9,9.292,2.5
1232.28,26.6,80,173,123,8,9.312,2.64
1234.8,26.4,78,152,124,7.1,9.329,2.69
1237.32,27.2,87,139,126,6.3,9.348,2.48
1239.84,29.2,109,120,127,5.1,9.368,2.13
1242.36,31.2,104,123,127,4.9,9.389,2.38
1244.88,31.1,93,137,128,5.4,9.413,2.65
1247.4,29.7,89,190,129,7.9,9.432,2.65
1249.92,28.3,87,207,130,9,9.454,2.58
